swap_station_serial_id,state,previous_state,state_change_timestamp,event_type,location_latitude,location_longitude,city,last_updated_at
bs0031,Amber,Green,2026-04-20 14:14:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 14:14:01
bs0065,Green,Amber,2026-04-20 14:17:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 14:17:01
bs0042,Green,Amber,2026-04-20 14:17:01,STATE_CHANGE,-1.3138581,36.9152761,Kenya,2026-04-20 14:17:01
bs0065,Grey,Green,2026-04-20 14:19:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 14:19:01
bs0033,Grey,Green,2026-04-20 14:19:01,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 14:19:01
bs0046,Grey,Green,2026-04-20 14:19:01,STATE_CHANGE,0.0250875,37.0676406,Kenya,2026-04-20 14:19:01
bs0050,Grey,Green,2026-04-20 14:19:01,STATE_CHANGE,-1.232800685,36.80740261,Kenya,2026-04-20 14:19:01
bs0027,Grey,Green,2026-04-20 14:20:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 14:20:01
bs0045,Grey,Green,2026-04-20 14:20:01,STATE_CHANGE,-0.1718875,37.0215781,Kenya,2026-04-20 14:20:01
bs0036,Grey,Green,2026-04-20 14:21:01,STATE_CHANGE,-1.3965625,36.7434375,Kenya,2026-04-20 14:21:01
bs0013,Amber,Red,2026-04-20 14:21:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 14:21:01
bs0011,Grey,Green,2026-04-20 14:21:01,STATE_CHANGE,12.91186413,77.63686608,India,2026-04-20 14:21:01
bs0037,Grey,Green,2026-04-20 14:22:01,STATE_CHANGE,-1.2069637,36.7833023,Kenya,2026-04-20 14:22:01
bs0024,Grey,Green,2026-04-20 14:22:01,STATE_CHANGE,-1.2980556,36.8183333,Kenya,2026-04-20 14:22:01
bs0052,Grey,Green,2026-04-20 14:22:01,STATE_CHANGE,-1.2735002,36.8262477,Kenya,2026-04-20 14:22:01
bs0026,Grey,Green,2026-04-20 14:23:01,STATE_CHANGE,-1.2152568,36.8918121,Kenya,2026-04-20 14:23:01
bs0014,Grey,Green,2026-04-20 14:24:01,STATE_CHANGE,-1.326784513,36.89444913,Kenya,2026-04-20 14:24:01
bs0047,Grey,Green,2026-04-20 14:24:01,STATE_CHANGE,0.01485822629,37.07601655,Kenya,2026-04-20 14:24:01
bs0056,Grey,Green,2026-04-20 14:24:01,STATE_CHANGE,-1.2805625,36.7363125,Kenya,2026-04-20 14:24:01
bs0044,Grey,Green,2026-04-20 14:25:01,STATE_CHANGE,-1.2120625,36.8720625,Kenya,2026-04-20 14:25:01
bs0028,Grey,Green,2026-04-20 14:27:01,STATE_CHANGE,-1.4314375,36.6863594,Kenya,2026-04-20 14:27:01
bs0031,Green,Amber,2026-04-20 14:27:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 14:27:01
bs0010,Grey,Green,2026-04-20 14:28:01,STATE_CHANGE,-1.040930573,37.07211436,Kenya,2026-04-20 14:28:01
bs0065,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 14:29:02
bs0033,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 14:29:02
bs0044,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2120625,36.8720625,Kenya,2026-04-20 14:29:02
bs0025,Red,Green,2026-04-20 14:29:02,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 14:29:02
bs0046,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,0.0250875,37.0676406,Kenya,2026-04-20 14:29:02
bs0037,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2069637,36.7833023,Kenya,2026-04-20 14:29:02
bs0014,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.326784513,36.89444913,Kenya,2026-04-20 14:29:02
bs0036,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.3965625,36.7434375,Kenya,2026-04-20 14:29:02
bs0028,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.4314375,36.6863594,Kenya,2026-04-20 14:29:02
bs0027,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 14:29:02
bs0024,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2980556,36.8183333,Kenya,2026-04-20 14:29:02
bs0045,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-0.1718875,37.0215781,Kenya,2026-04-20 14:29:02
bs0047,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,0.01485822629,37.07601655,Kenya,2026-04-20 14:29:02
bs0043,Green,Red,2026-04-20 14:29:02,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 14:29:02
bs0052,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2735002,36.8262477,Kenya,2026-04-20 14:29:02
bs0011,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,12.91186413,77.63686608,India,2026-04-20 14:29:02
bs0050,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.232800685,36.80740261,Kenya,2026-04-20 14:29:02
bs0056,Green,Grey,2026-04-20 14:29:02,STATE_CHANGE,-1.2805625,36.7363125,Kenya,2026-04-20 14:29:02
